rc2_2_9

VEHICLE
NUMBER     CAPACITY
  50         1000

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME   APPEAR
  113      34        104         10        408        888         10   0
  114     121        110         30        465        945         10   0
  115      56        139         18       1059       1539         10   258
  116     106         10         13       1015       1495         10   0
  117     125        108         20        407        887         10   0
  118      21        115         10        163        643         10   0
  119     110         66         10        240        720         10   0
  120      36         38          5       1571       2051         10   0
  121      56        129         21        966       1446         10   0
  122       4         30         40        444        924         10   0
  123       8        138         10        985       1465         10   784
  124      88         35         20         85        565         10   0
  125     116        132         10        527       1007         10   672
  126     113         45          4       1016       1496         10   49
  127      28        107         20         81        561         10   0
  128     115        134         30        116        596         10   0
  129     116         83         30        538       1018         10   559
  130      57         59         10        306        786         10   673
  131      89         39         23         36        516         10   0
  132      59         52         20        148        628         10   592
  133     112         71         20         42        522         10   0
  134      35         99         20        561       1041         10   363
  135      23         39         20       1227       1707         10   0
  136      84         39         20        279        759         10   577
  137      19        120         16        865       1345         10   0
  138      20         39         10        417        897         10   456
  139      90        104         20        389        869         10   445
  140      66         91         16         21        501         10   0
  141       4         44         24       1482       1962         10   0
  142      78         63         19         10        490         10   0
  143      92        107         30        153        633         10   0
  144      37        138          5        659       1139         10   819
  145     120         14         20        854       1334         10   913
  146      33          0         20       1750       2230         10   363
  147     113         71         10         53        533         10   69
  148     112         13         27       1920       2400         10   0
  149      41         36         13         44        524         10   38
  150      64         61         20        417        897         10   0
  151     121        134         20        327        807         10   0
  152     103         44         12         42        522         10   29
  153      67         55         10         15        495         10   0
  154      86         80         21       1318       1798         10   1324
  155      64        132          8         62        542         10   0
  156      93         36         20         41        521         10   0
  157     115        124         11       1464       1944         10   80
  158     103         82         27       1125       1605         10   0
  159      18         38         30        279        759         10   384
  160     122        131         20        380        860         10   0
  161     107         63         30        297        777         10   302
  162      48         47         19         31        511         10   186
  163      62         58         20         14        494         10   0
  164       0         27         30        185        665         10   485
  165     118        114         10         65        545         10   407
  166      91         95         20        506        986         10   712
  167     113         35          9         55        535         10   346
  168     119        139         20        182        662         10   0
  169     104         54         13         37        517         10   176
  170      15          4         23        223        703         10   0
  171      59         56         20        252        732         10   147
  172      21         44         20         55        535         10   0
  173     100        106         10        225        705         10   0
  174      47         83          1       1091       1571         10   911
  175      34         72         21       2009       2489         10   967
  176      32        106         10        356        836         10   0
  177     109        131         20         72        552         10   135
  178      89         24         15       1024       1504         10   982
  179      97         28         20         49        529         10   78
  180      86         37         10        178        658         10   102
  181       1         34         20         77        557         10   0
  182     103         69         30         33        513         10   86
  183      98         31         20        202        682         10   0
  184     103         34         30        265        745         10   145
  185      13         48         15       1502       1982         10   0
  186      22         38         20        466        946         10   6
  187      61         59         20        362        842         10   426
  188      94        105         10        289        769         10   0
  189     118        131         20        478        958         10   614
  190     108         30         18        203        683         10   0
  191      36        105         20        457        937         10   690
  192     133        130         13        709       1189         10   0
  193      15         18         10       1420       1900         10   0
  194     103         86         19        851       1331         10   1039
  195     107         77         34         37        517         10   0
  196      99         34          9        123        603         10   182
  197      17         43         10         87        567         10   163
  198     140         36          1        522       1002         10   0
  199      26        105         40         56        536         10   167
  200      60         23         16         48        528         10   0
